country,country_code,id,populist,year,polity2,EFW,WGI1,WGI2,WGI3,ICRG,VDEMy,VDEM1,VDEM2,VDEM3,VDEM4,VDEM5,VDEM6
Algeria,DZA,1,0,1980,-9,2.84,,,,,11,19.5,10.6,18,128.89999,40.5,77.099998
Algeria,DZA,1,0,1981,-9,,,,,,11.1,19.5,10.6,18,128.89999,40.5,77.099998
Algeria,DZA,1,0,1982,-9,,,,,,11.3,20.299999,10.6,18,128.89999,39.5,77.099998
Algeria,DZA,1,0,1983,-9,,,,,,11.4,20.5,10.6,18,128.89999,42.599998,77.099998
Algeria,DZA,1,0,1984,-9,,,,,3,11.3,20.700001,12.2,18,128.89999,43.400002,77.099998
Algeria,DZA,1,0,1985,-9,2.68,,,,4,11.4,20.700001,12.2,18,128.89999,43.400002,77.099998
Algeria,DZA,1,0,1986,-9,,,,,4,11.4,20.700001,12.2,18,128.89999,43.400002,77.099998
Algeria,DZA,1,0,1987,-9,,,,,4,11.4,20.6,12.2,18,128.89999,42.900002,77.099998
Algeria,DZA,1,0,1988,-9,,,,,4,11.9,20.6,12.2,18,128.89999,42.799999,74.800003
Algeria,DZA,1,0,1989,-2,,,,,4,12.5,22.299999,16.4,62.900002,91.800003,44.5,74.800003
Algeria,DZA,1,0,1990,-2,3.08,,,,3.916666746139526,16.4,35.099998,55.900002,62.900002,91.800003,34.799999,71.800003
Algeria,DZA,1,0,1991,-2,,,,,4,15.7,35.099998,55.599998,62.900002,91.800003,35.099998,71.800003
Algeria,DZA,1,0,1992,-7,,,,,3.5,8.5,19.200001,54.799999,62.900002,91.800003,54,71.800003
Algeria,DZA,1,0,1993,-7,,,,,3,8.1000004,17.299999,53.5,62.900002,91.800003,54,81.800003
Algeria,DZA,1,0,1994,-7,,,,,3,10.2,17.9,56.299999,62.900002,91.800003,54,76.5
Algeria,DZA,1,0,1995,-3,3.72,,,,3,11.4,18.6,56.299999,62.900002,91.800003,53.700001,73.900002
Algeria,DZA,1,0,1996,-3,,-1.166290163993835,-1.218194842338562,-.5667409300804138,3,15.8,33.099998,56.299999,62.900002,91.800003,51.5,73.900002
Algeria,DZA,1,0,1997,-3,,,,,2.5,15.5,32,56.299999,62.900002,91.800003,53.700001,73.900002
Algeria,DZA,1,0,1998,-3,,-1.244342446327209,-1.198362112045288,-.9166492819786072,2,15.4,31.4,58.099998,62.900002,91.800003,55.400002,73.900002
Algeria,DZA,1,0,1999,-3,,,,,2,16,32.700001,61.299999,50.400002,24,56.099998,81.400002
Algeria,DZA,1,0,2000,-3,4.77,-1.110052227973938,-1.24584436416626,-.9872981905937195,2,16.200001,32.599998,67.5,-62.599998,24,61.900002,81.400002
Algeria,DZA,1,0,2001,-3,4.819815826117202,,,,1.958333373069763,16.200001,32.599998,67.5,-62.599998,24,61.900002,81.400002
Algeria,DZA,1,0,2002,-3,4.833317206901421,-1.044660210609436,-.6367331743240356,-.928754985332489,1.5,16.200001,32.900002,67.5,-62.599998,24,65.5,81.400002
Algeria,DZA,1,0,2003,-3,4.959194365684304,-1.076718091964722,-.6053807735443115,-.715244472026825,1.5,16.299999,33.5,67.5,-62.599998,24,67.900002,81.400002
